,Unnamed: 0,Name,GradeDistribution,Color,Black,White,Yellow,z_thermo_raw,incut_size,rotational_angle,slopeness,sharpness
83,83,G12,"{'6B+': 0, '6C': 0, '6C+': 1, '7A': 0, '7A+': 1, '7B': 1, '7B+': 1, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0,1 or 2,,,,
84,84,G13,"{'6B+': 13, '6C': 3, '6C+': 0, '7A': 3, '7A+': 1, '7B': 2, '7B+': 0, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0,2,,,,
85,85,G14,"{'6B+': 6, '6C': 1, '6C+': 2, '7A': 4, '7A+': 6, '7B': 4, '7B+': 3, '7C': 4, '7C+': 1, '8A': 1, '8A+': 0, '8B': 0}",black,1,0,0,1 or 2,,,,
86,86,G15,"{'6B+': 2, '6C': 5, '6C+': 7, '7A': 5, '7A+': 2, '7B': 4, '7B+': 4, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0,0 or 1,,,,
87,87,G16,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 1, '7A+': 0, '7B': 0, '7B+': 0, '7C': 1, '7C+': 3, '8A': 2, '8A+': 0, '8B': 0}",yellow,0,0,1,0 or 1,,,,
88,88,G17,"{'6B+': 2, '6C': 4, '6C+': 2, '7A': 6, '7A+': 4, '7B': 4, '7B+': 1, '7C': 1, '7C+': 2, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0,0 or 1,,,,
89,89,G18,"{'6B+': 15, '6C': 11, '6C+': 9, '7A': 9, '7A+': 12, '7B': 7, '7B+': 2, '7C': 3, '7C+': 2, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0,2,,,,
90,90,H5,"{'6B+': 4, '6C': 4, '6C+': 9, '7A': 10, '7A+': 14, '7B': 4, '7B+': 2, '7C': 3, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0,0 or 1,,,,
91,91,H7,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 0, '7A+': 0, '7B': 1, '7B+': 2, '7C': 2, '7C+': 1, '8A': 1, '8A+': 0, '8B': 0}",yellow,0,0,1,0 or 1,,,,
92,92,H8,"{'6B+': 3, '6C': 3, '6C+': 3, '7A': 4, '7A+': 6, '7B': 5, '7B+': 1, '7C': 2, '7C+': 0, '8A': 1, '8A+': 0, '8B': 0}",black,1,0,0,1 or 2,,,,
93,93,H9,"{'6B+': 1, '6C': 1, '6C+': 2, '7A': 4, '7A+': 4, '7B': 2, '7B+': 2, '7C': 2, '7C+': 1, '8A': 1, '8A+': 0, '8B': 0}",yellow,0,0,1,2,,,,
