,Name,Grade,Moves,Holdsets,Id
138,CRIMP TAI CHI,7C,"[{'Id': 1529785, 'Description': 'D6', 'IsStart': True, 'IsEnd': False}, {'Id': 1529786, 'Description': 'H5', 'IsStart': True, 'IsEnd': False}, {'Id': 1529787, 'Description': 'E9', 'IsStart': False, 'IsEnd': False}, {'Id': 1529788, 'Description': 'E11', 'IsStart': False, 'IsEnd': False}, {'Id': 1529789, 'Description': 'J11', 'IsStart': False, 'IsEnd': False}, {'Id': 1529790, 'Description': 'J14', 'IsStart': False, 'IsEnd': False}, {'Id': 1529791, 'Description': 'I15', 'IsStart': False, 'IsEnd': False}, {'Id': 1529792, 'Description': 'H18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",45211
139,FOUNDRY LEAGUE 1,7C,"[{'Id': 1530547, 'Description': 'I4', 'IsStart': True, 'IsEnd': False}, {'Id': 1530548, 'Description': 'H8', 'IsStart': False, 'IsEnd': False}, {'Id': 1530549, 'Description': 'J10', 'IsStart': False, 'IsEnd': False}, {'Id': 1530550, 'Description': 'G14', 'IsStart': False, 'IsEnd': False}, {'Id': 1530551, 'Description': 'D15', 'IsStart': False, 'IsEnd': False}, {'Id': 1530552, 'Description': 'A18', 'IsStart': False, 'IsEnd': True}, {'Id': 1530553, 'Description': 'D18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",47710
140,FULCRO HARD,7C,"[{'Id': 1555878, 'Description': 'G4', 'IsStart': True, 'IsEnd': False}, {'Id': 1555879, 'Description': 'G6', 'IsStart': True, 'IsEnd': False}, {'Id': 1555880, 'Description': 'I9', 'IsStart': False, 'IsEnd': False}, {'Id': 1555881, 'Description': 'D11', 'IsStart': False, 'IsEnd': False}, {'Id': 1555882, 'Description': 'E16', 'IsStart': False, 'IsEnd': False}, {'Id': 1555883, 'Description': 'D18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",126481
141,FÃœR IMMER MEIN,7C,"[{'Id': 1621973, 'Description': 'C15', 'IsStart': False, 'IsEnd': False}, {'Id': 1621974, 'Description': 'C18', 'IsStart': False, 'IsEnd': True}, {'Id': 1621975, 'Description': 'D10', 'IsStart': False, 'IsEnd': False}, {'Id': 1621976, 'Description': 'G10', 'IsStart': False, 'IsEnd': False}, {'Id': 1621977, 'Description': 'H5', 'IsStart': True, 'IsEnd': False}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",254625
142,GO BIG OR GO HOME,7C,"[{'Id': 1535486, 'Description': 'I4', 'IsStart': True, 'IsEnd': False}, {'Id': 1535487, 'Description': 'G2', 'IsStart': True, 'IsEnd': False}, {'Id': 1535488, 'Description': 'I14', 'IsStart': False, 'IsEnd': False}, {'Id': 1535489, 'Description': 'E10', 'IsStart': False, 'IsEnd': False}, {'Id': 1535490, 'Description': 'D18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",62267
143,HAKUSAI,7C,"[{'Id': 1621945, 'Description': 'G7', 'IsStart': False, 'IsEnd': False}, {'Id': 1621946, 'Description': 'G14', 'IsStart': False, 'IsEnd': False}, {'Id': 1621947, 'Description': 'I9', 'IsStart': False, 'IsEnd': False}, {'Id': 1621948, 'Description': 'K5', 'IsStart': True, 'IsEnd': False}, {'Id': 1621949, 'Description': 'K18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",174899
144,HONEY MUSTARD,7C,"[{'Id': 1520115, 'Description': 'I5', 'IsStart': True, 'IsEnd': False}, {'Id': 1520116, 'Description': 'F8', 'IsStart': False, 'IsEnd': False}, {'Id': 1520117, 'Description': 'J11', 'IsStart': False, 'IsEnd': False}, {'Id': 1520118, 'Description': 'I12', 'IsStart': False, 'IsEnd': False}, {'Id': 1520119, 'Description': 'C15', 'IsStart': False, 'IsEnd': False}, {'Id': 1520120, 'Description': 'D16', 'IsStart': False, 'IsEnd': False}, {'Id': 1520121, 'Description': 'C18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}]",21492
145,IL MANFRUITO,7C,"[{'Id': 1621578, 'Description': 'A18', 'IsStart': False, 'IsEnd': True}, {'Id': 1621579, 'Description': 'E6', 'IsStart': True, 'IsEnd': False}, {'Id': 1621580, 'Description': 'E9', 'IsStart': False, 'IsEnd': False}, {'Id': 1621581, 'Description': 'F13', 'IsStart': False, 'IsEnd': False}, {'Id': 1621582, 'Description': 'G4', 'IsStart': True, 'IsEnd': False}, {'Id': 1621583, 'Description': 'G17', 'IsStart': False, 'IsEnd': False}]","[{'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",52318
146,INSURANCEBOGLI,7C,"[{'Id': 1621926, 'Description': 'C5', 'IsStart': True, 'IsEnd': False}, {'Id': 1621927, 'Description': 'D3', 'IsStart': True, 'IsEnd': False}, {'Id': 1621928, 'Description': 'G7', 'IsStart': False, 'IsEnd': False}, {'Id': 1621929, 'Description': 'G11', 'IsStart': False, 'IsEnd': False}, {'Id': 1621930, 'Description': 'H15', 'IsStart': False, 'IsEnd': False}, {'Id': 1621931, 'Description': 'H9', 'IsStart': False, 'IsEnd': False}, {'Id': 1621932, 'Description': 'J14', 'IsStart': False, 'IsEnd': False}, {'Id': 1621933, 'Description': 'K18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",158675
147,JINHONG'S PROBLEM,7C,"[{'Id': 1528933, 'Description': 'C5', 'IsStart': True, 'IsEnd': False}, {'Id': 1528934, 'Description': 'D5', 'IsStart': True, 'IsEnd': False}, {'Id': 1528935, 'Description': 'F8', 'IsStart': False, 'IsEnd': False}, {'Id': 1528936, 'Description': 'F9', 'IsStart': False, 'IsEnd': False}, {'Id': 1528937, 'Description': 'G14', 'IsStart': False, 'IsEnd': False}, {'Id': 1528938, 'Description': 'C18', 'IsStart': False, 'IsEnd': True}]","[{'Id': 0, 'Description': 'Original School Holds', 'Color': '#f6f60c', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set A', 'Color': '#dee1ce', 'Holds': None}, {'Id': 0, 'Description': 'Hold Set B', 'Color': '#000000', 'Holds': None}]",42900
