,Grade,number_of_holds,downwards_count,only_upwards_count,only_sideways_count,yellow_count,black_count,white_count,downwards_percent,black_percent,white_percent,yellow_percent,b_w_percent,only_upwards_percent,mean_distance_of_holds,last_move_diff,first_move_diff
17,7C+,6,5,1,0,0,0,6,0.8333333333333334,0.0,1.0,0.0,1.0,0.1666666666666666,8.376050054837629,1.173957829392219,1.8197774591686988
18,7C+,6,6,0,0,3,1,2,1.0,0.1666666666666666,0.3333333333333333,0.5,0.5,0.0,7.291867328279991,19.34112620246022,5.755106026838968
19,7C+,5,4,1,0,5,0,0,0.8,0.0,0.0,1.0,0.0,0.2,7.6272699601443295,1841.3888603791693,33.79279093235177
20,7C+,6,6,0,0,0,6,0,1.0,1.0,0.0,0.0,1.0,0.0,6.992956715012394,0.8224476822428967,2.021923930039652
21,7C+,7,6,1,0,2,2,3,0.8571428571428571,0.2857142857142857,0.4285714285714285,0.2857142857142857,0.7142857142857143,0.1428571428571428,8.029333017432805,181.1855289308532,2.0395599311293537
22,7C+,5,5,0,0,5,0,0,1.0,0.0,0.0,1.0,0.0,0.0,6.585408259411357,1536.5938962421694,4.212391269711449
23,7C+,5,4,1,0,0,3,2,0.8,0.6,0.4,0.0,1.0,0.2,8.866960178947703,1.3004786452271957,1.970585684682729
24,7C+,7,5,2,0,2,1,4,0.7142857142857143,0.1428571428571428,0.5714285714285714,0.2857142857142857,0.7142857142857143,0.2857142857142857,8.153218279046792,8.253731227430306,22.42445998890601
25,7C+,5,5,0,0,0,3,2,1.0,0.6,0.4,0.0,1.0,0.0,8.052841011387697,1.312460027838218,1.943220492990136
26,7C+,7,5,1,1,3,0,4,0.7142857142857143,0.0,0.5714285714285714,0.4285714285714285,0.5714285714285714,0.1428571428571428,7.774405054380888,3.1126885796848267,3.8265627371862623
27,7C+,4,3,1,0,3,1,0,0.75,0.25,0.0,0.75,0.25,0.25,8.333333333333334,59.61920064916219,48.41385470611246
28,7C+,6,5,1,0,6,0,0,0.8333333333333334,0.0,0.0,1.0,0.0,0.1666666666666666,7.464964875383477,1823.105342048955,108.26875483036254
29,7C+,5,4,1,0,2,2,1,0.8,0.4,0.2,0.4,0.6,0.2,7.694013407166198,81.83651554268805,6.473550106925658
30,7C+,10,8,2,0,2,4,4,0.8,0.4,0.4,0.2,0.8,0.2,8.184718024058126,26.528531184668548,5.9098455586557455
31,7C+,8,8,0,0,7,0,1,1.0,0.0,0.125,0.875,0.125,0.0,6.974434635552361,13.55406980692378,2.8517810673286803
32,7C+,8,7,1,0,5,1,2,0.875,0.125,0.25,0.625,0.375,0.125,8.412267148392088,9.307736824554516,259.84246980683
33,7C+,8,8,0,0,1,5,2,1.0,0.625,0.25,0.125,0.875,0.0,6.9467157752963065,0.8224476822428967,16.053303925012234
34,7C+,7,6,1,0,1,4,2,0.8571428571428571,0.5714285714285714,0.2857142857142857,0.1428571428571428,0.8571428571428572,0.1428571428571428,7.435727607992956,0.6086187076593164,6.473550106925658
35,7C+,9,7,2,0,6,2,1,0.7777777777777778,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.2222222222222222,7.686670791824816,7.62050268424533,533.072637718834
36,7C+,6,5,1,0,2,2,2,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.1666666666666666,8.097614181065904,9.92394790488392,5.208682172539993
